ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
2588,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Utgangslage-och-malprogrammering-tsxjbj.mp3,/woocommerce_uploads/2024/02/01-Utgangslage-och-malprogrammering-tsxjbj.mp3,01-Utgangslage-och-malprogrammering-tsxjbj.mp3,,,"”Utgångsläge och målprogrammering” från Mental Träning som hjäp &amp; stöd vid cancer av Lars-Eric Uneståhl. Spår 1. Genre: Andliga sånger.","Utgångsläge och målprogrammering"
2520,https://xn--mentaltrning-ncb.nu/wp-content/uploads/2024/09/Mupparna.mp3,/2024/09/Mupparna.mp3,Mupparna.mp3,,,"”Spår 1” från Okänt album (2014-12-03 15:12:17). Spår 1.","Spår 1"
2509,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Spar-04-2-ecc0bd.mp3,/woocommerce_uploads/2024/02/04-Spar-04-2-ecc0bd.mp3,04-Spar-04-2-ecc0bd.mp3,,,"”Spår 04”. Spår 4.","Spår 04"
2508,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Spar-03-3-cjnlcm.mp3,/woocommerce_uploads/2024/02/03-Spar-03-3-cjnlcm.mp3,03-Spar-03-3-cjnlcm.mp3,,,"”Spår 03”. Spår 3.","Spår 03"
2507,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Spar-02-3-umnda6.mp3,/woocommerce_uploads/2024/02/02-Spar-02-3-umnda6.mp3,02-Spar-02-3-umnda6.mp3,,,"”Spår 02”. Spår 2.","Spår 02"
2506,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Spar-01-5-y29oic.mp3,/woocommerce_uploads/2024/02/01-Spar-01-5-y29oic.mp3,01-Spar-01-5-y29oic.mp3,,,"”Spår 01”. Spår 1.","Spår 01"
1887,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/10-Egen-uppladdning-xwlhip.mp3,/woocommerce_uploads/2024/02/10-Egen-uppladdning-xwlhip.mp3,10-Egen-uppladdning-xwlhip.mp3,,,"”Egen uppladdning” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 10.","Egen uppladdning"
1886,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/09-Livslang-utveckling-m0gmvm.mp3,/woocommerce_uploads/2024/02/09-Livslang-utveckling-m0gmvm.mp3,09-Livslang-utveckling-m0gmvm.mp3,,,"”Livslång utveckling” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 9.","Livslång utveckling"
1885,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/08-Vardagsinlarning-kksuuh.mp3,/woocommerce_uploads/2024/02/08-Vardagsinlarning-kksuuh.mp3,08-Vardagsinlarning-kksuuh.mp3,,,"”Vardagsinlärning” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 8.",Vardagsinlärning
1884,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/07-Effektivitet-o-arbetsgladje-dd9jrn.mp3,/woocommerce_uploads/2024/02/07-Effektivitet-o-arbetsgladje-dd9jrn.mp3,07-Effektivitet-o-arbetsgladje-dd9jrn.mp3,,,"”Effektivitet o arbetsglädje” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 7.","Effektivitet o arbetsglädje"
1883,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/06-Kvalitet-och-ansvar-bryih5.mp3,/woocommerce_uploads/2024/02/06-Kvalitet-och-ansvar-bryih5.mp3,06-Kvalitet-och-ansvar-bryih5.mp3,,,"”Kvalitet och ansvar” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 6.","Kvalitet och ansvar"
1882,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/05-Sjalvinsikt-inre-trygghet-txyveu.mp3,/woocommerce_uploads/2024/02/05-Sjalvinsikt-inre-trygghet-txyveu.mp3,05-Sjalvinsikt-inre-trygghet-txyveu.mp3,,,"”Självinsikt-inre trygghet” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 5.","Självinsikt-inre trygghet"
1881,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Samarbete-yswfot.mp3,/woocommerce_uploads/2024/02/04-Samarbete-yswfot.mp3,04-Samarbete-yswfot.mp3,,,"”Samarbete” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 4.",Samarbete
1880,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Mental-tuffhet-exsgok.mp3,/woocommerce_uploads/2024/02/03-Mental-tuffhet-exsgok.mp3,03-Mental-tuffhet-exsgok.mp3,,,"”Mental tuffhet” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 3.","Mental tuffhet"
1879,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Malprogrammering-Kort-ugl85u.mp3,/woocommerce_uploads/2024/02/02-Malprogrammering-Kort-ugl85u.mp3,02-Malprogrammering-Kort-ugl85u.mp3,,,"”Målprogrammering-Kort” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 2.",Målprogrammering-Kort
1878,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Malprogrammering-Lang-istrk5.mp3,/woocommerce_uploads/2024/02/01-Malprogrammering-Lang-istrk5.mp3,01-Malprogrammering-Lang-istrk5.mp3,,,"”Målprogrammering-Lång” från Dreamteam Pedagogisk uppladdning av Lars-Eric Uneståhl. Spår 1.",Målprogrammering-Lång
